Job Class,Percentage,Link
Management,6.1,https://www.forbes.com/sites/victorlipman/2016/07/06/how-can-i-get-into-management/?sh=5a050b985ec9
Business and Financial operations,5,https://money.usnews.com/careers/best-jobs/business-operations-manager
Computer and Mathematical,2.7,https://www.indeed.com/career-advice/finding-a-job/job-in-computer-science
Architecture and Engineering,1.7,https://www.ncarb.org/sites/default/files/GuidetoArchCareer.pdf
"Life, Physical and Social Science",0.9,https://www.pdx.edu/careers/what-can-i-do-degree-social-science
Community and Social Service,1.6,https://www.socialworkguide.org/
Legal,0.8,https://www.lawyeredu.org/new-york.html
"Education, training and library",6.1,https://www.nysut.org/resources/special-resources-sites/look-at-teaching/becoming-a-teacher/traditional-path
"Arts, design, entertainment, sports and media",1.7,https://www.theartcareerproject.com/five-ways-to-jumpstart-your-art-career/
Healthcare practioners and technical,5.5,https://www.edumed.org/how-to-become/
Healthcare support,2.8,https://www.ziprecruiter.com/Career/Health-Care-Assistant/What-Is-How-to-Become
Protective service,2.3,https://www1.nyc.gov/site/acs/about/becoming-cps.page
Food preparation and serving,8.3,https://work.chron.com/way-job-restaurant-22339.html
Building and grounds cleaning and maintenance,3.7,https://www.mau.com/career-tips/how-to-start-a-career-in-maintenance-and-repair
Personal care and service,4,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2,https://www.professionalacademy.com/blogs/how-to-start-a-career-in-sales/
Office and administrative support,15.1,https://basehq.com/take-administrative-support-to-the-next-level-with-base/
"Farming, fishing and forestry",0.6,https://blog.aghires.com/choosing-a-career-in-agriculture
Construction and extraction,4.3,https://www.careersinconstruction.ca/en/careers/getting-started
"Installation, maintenance and repair",3.8,https://thebestschools.org/careers/career-guide/maintenance-careers/
Production,6.1,https://targetcareers.co.uk/career-sectors/media/315127-how-do-i-get-into-a-career-in-tv-or-radio-production
Transportation and material moving,6.5,https://www.livecareer.com/resources/jobs/search/transportation
Total,99.8,https://hbr.org/2015/02/how-to-build-a-meaningful-career
